1;5960
1000;111020
2000;144400
3000;190520
4000;235480
5000;249940
6000;64000
7000;107120
8000;21220
9000;16660
10000;15460
11000;30640
12000;32940
13000;27100
14000;25800
15000;32540
16000;24360
17000;27040
18000;30800
19000;34420
20000;36340
21000;35560
22000;37340
23000;39040
24000;41840
25000;66080
26000;44640
27000;59900
28000;61860
29000;62120
30000;64860
31000;69320
32000;68240
33000;70160
34000;72780
35000;71840
36000;100040
37000;75160
38000;75500
39000;78800
40000;78000
41000;107580
42000;84360
43000;84540
44000;89260
45000;92660
46000;94060
47000;98400
48000;99340
49000;98780
50000;98520
51000;99180
52000;112100
53000;114040
54000;116680
55000;119980
56000;119980
57000;124460
58000;130160
59000;132160
60000;139400
61000;143640
62000;143900
63000;146000
64000;142020
65000;158800
66000;152740
67000;165740
68000;167520
69000;175600
70000;188400
71000;177640
72000;177780
73000;184900
74000;205640
75000;190300
76000;186860
77000;256140
78000;216660
79000;212680
80000;216140
81000;220300
82000;233180
83000;243120
84000;249760
85000;236540
86000;253640
87000;262060
88000;270880
89000;294700
90000;257000
91000;299200
92000;298640
93000;326380
94000;279480
95000;241060
96000;368060
97000;332380
98000;337480
99000;370920
100000;380540
